"","Feature","pval","pval.adj","log2FC","ordering","Method","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1","ASV_0001",6.02432523307725e-08,2.26370295222294e-06,5.26910162720797,"d8>d0","t-test - ALR (tta)","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia/Shigella",NA
"2","ASV_0002",2.96392897680021e-05,0.000165980022700812,3.09306479687671,"d8>d0","t-test - ALR (tta)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA
"3","ASV_0003",8.40480459055681e-06,5.88336321338977e-05,-3.73217940858574,"d0>d8","t-test - ALR (tta)","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium",NA
"5","ASV_0006",4.09838324083509e-07,6.45769447828538e-06,-5.07644070086327,"d0>d8","t-test - ALR (tta)","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA
"6","ASV_0008",0.0229148293899249,0.0370162628606479,-2.0068275317077,"d0>d8","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Family_Lachnospiraceae",NA
"7","ASV_0009",0.00253086921803961,0.0057457571436575,-3.03385068831272,"d0>d8","t-test - ALR (tta)","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Turicibacter",NA
"9","ASV_0012",0.00016818383858916,0.000672735354356641,-2.63892733163668,"d0>d8","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Family_Ruminococcaceae",NA
"10","ASV_0013",1.13489355632479e-12,9.53310587312821e-11,6.93480284258355,"d8>d0","t-test - ALR (tta)","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Holdemania",NA
"12","ASV_0021",8.35417142560881e-05,0.000389861333195078,-3.06086141883607,"d0>d8","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA
"14","ASV_0023",0.000355196878804935,0.00119346151278458,-2.84961612978628,"d0>d8","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Order_Clostridiales","Order_Clostridiales",NA
