"","Feature","pval","pval.adj","log2FC","ordering","Method","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"57","ASV_0150",1.6744163935433e-06,2.68124469750623e-05,-3.91164624829971,"d0>d8","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Anaerotignum","Genus_Anaerotignum"
"58","ASV_0153",0.002096931715264,0.00572308519317415,-2.93384273849868,"d0>d8","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospira","Genus_Lachnospira"
"60","ASV_0164",0.000275830661360294,0.00106976601633348,-2.89232588496036,"d0>d8","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Neglecta","Genus_Neglecta"
"63","ASV_0179",0.00377460920879709,0.00875023043857508,-2.17640722616391,"d0>d8","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Anaerofilum","Genus_Anaerofilum"
"65","ASV_0184",0.00105247521392349,0.00323170815297792,-2.38691065522347,"d0>d8","t-test - ALR (tta)","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Longibaculum","Genus_Longibaculum"
"66","ASV_0190",0.00155056710837315,0.00451879557297319,2.64077268975259,"d8>d0","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Cuneatibacter","Genus_Cuneatibacter"
"67","ASV_0195",0.00401840492599942,0.00891037614025957,-2.15011977721162,"d0>d8","t-test - ALR (tta)","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Family_Coriobacteriaceae","Family_Coriobacteriaceae"
"70","ASV_0233",0.000109195015674569,0.000530375790419334,3.17170844438477,"d8>d0","t-test - ALR (tta)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Genus_Bacteroides"
"72","ASV_0239",0.000705543006162617,0.00224891833214334,-2.23800165757105,"d0>d8","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","hydrogenotrophica"
"73","ASV_0251",0.00861582051386472,0.0165813904229095,-1.60322700578671,"d0>d8","t-test - ALR (tta)","Bacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae","Family_Synergistaceae","Family_Synergistaceae"
"74","ASV_0254",0.00026733503881248,0.00106976601633348,-2.70078100059505,"d0>d8","t-test - ALR (tta)","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Genus_Bifidobacterium"
"75","ASV_0282",0.00753295707351064,0.0147761850288093,-2.07229706865261,"d0>d8","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Pseudoflavonifractor","Genus_Pseudoflavonifractor"
