"","Feature","pval","pval.adj","log2FC","ordering","Method","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"41","ASV_0109",0.001532052881591,0.0036769269158184,2.7395616524477,"d8>d0","t-test - ALR (tta)","Bacteria","Proteobacteria","Phylum_Proteobacteria","Phylum_Proteobacteria","Phylum_Proteobacteria","Phylum_Proteobacteria",NA
"42","ASV_0112",0.00087892210577936,0.00246098189618221,-2.40512598115035,"d0>d8","t-test - ALR (tta)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Mucinivorans",NA
"45","ASV_0121",0.011432552486234,0.0208768349748622,2.10221482931016,"d8>d0","t-test - ALR (tta)","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia",NA
"46","ASV_0123",0.000339175640411766,0.00135670256164707,-3.96142186410517,"d0>d8","t-test - ALR (tta)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Odoribacteraceae","Odoribacter",NA
"47","ASV_0131",0.000550672563805277,0.00171320353183864,-2.89784951487138,"d0>d8","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Clostridium_XlVa",NA
"48","ASV_0135",1.41253306998677e-06,1.94461583287618e-05,-4.18683830360403,"d0>d8","t-test - ALR (tta)","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Family_Eggerthellaceae",NA
"50","ASV_0150",4.18445911172791e-07,7.42566223111725e-06,-4.40968481246093,"d0>d8","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Anaerotignum",NA
"52","ASV_0164",0.000229449991786901,0.00098697316137947,-2.92782918114393,"d0>d8","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Neglecta",NA
"54","ASV_0175",0.0295194229798869,0.04959263060621,-1.64826224408913,"d0>d8","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Frisingicoccus",NA
"55","ASV_0179",0.000517640416142941,0.00171320353183864,-2.73131453926441,"d0>d8","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Anaerofilum",NA
"57","ASV_0184",0.000926213457486882,0.00250973969125478,-2.55320930749585,"d0>d8","t-test - ALR (tta)","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Longibaculum",NA
"58","ASV_0190",0.00110099444238243,0.00289011041125388,4.06188103733154,"d8>d0","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Cuneatibacter",NA
"59","ASV_0195",4.81792695905013e-05,0.000267208835989961,-3.01986666827163,"d0>d8","t-test - ALR (tta)","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Family_Coriobacteriaceae",NA
"62","ASV_0251",0.0226499332825331,0.0404807318241018,-1.70096966071614,"d0>d8","t-test - ALR (tta)","Bacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae","Family_Synergistaceae",NA
"63","ASV_0282",0.000705399416485327,0.00204322589602646,-2.42132263233998,"d0>d8","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Pseudoflavonifractor",NA
"65","ASV_0308",0.000234993609852255,0.00098697316137947,-3.540921430742,"d0>d8","t-test - ALR (tta)","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Amedibacillus",NA
"66","ASV_0310",0.00168847182287143,0.00393976758670001,-2.12786664413397,"d0>d8","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Paludicola",NA
"68","ASV_0340",0.00693979554654532,0.0135568099048792,-1.81464256200835,"d0>d8","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae","Beduinibacterium",NA
"71","ASV_0385",0.0005366889909461,0.00171320353183864,-2.42877461646148,"d0>d8","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruthenibacterium",NA
"76","ASV_0404",0.000431351246842846,0.00157536977107822,-2.30472358936358,"d0>d8","t-test - ALR (tta)","Bacteria","Actinobacteria","Phylum_Actinobacteria","Phylum_Actinobacteria","Phylum_Actinobacteria","Phylum_Actinobacteria",NA
"78","ASV_0431",0.00846466705176266,0.0161598189170014,-1.65732745385304,"d0>d8","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae","Christensenella",NA
