rat_name;ordering;treatment;pfos;van;bw_0;bw_1;bw_2;bw_3;bw_4;bw_5;bw_6;bw_7;bw_8;bw_gain;cecum_wt;cecum_wt_bw;cecum_norm;liver_wt;liver_wt_bw;liver_norm;tot_pfos4;blood_vol4_mL;pfos_serum4_ugml;pfos_serum4_ug;pfos_serum4_mg;pfos_serum4_pct;tot_pfos8;blood_vol8_mL;pfos_serum8_ugml;pfos_serum8_ug;pfos_serum8_mg;pfos_serum8_pct;pfos_change48_pct;pfos_liver_ugg;pfos_liver_mg;pfos_liver_pct;acetic;formic;propanoic;m2_propanoic ;butanoic;m3_butanoic;pentanoic;m4_pentanoic;hexanoic;heptanoic
R18;30;VAN;no;yes;266,1;275,4;281,9;284,8;287,7;298;302;312,1;314;18,0007516;9,2403;29,4277;1,8353;10,7701;34,2997;0,9542;0;18,4128;0;0,000;0,00000000;;0;20,096;0;0,000;0,000;;;0,03;0,0003231;;2,27660562;0;0,400484586;0;0,155728627;0;0;0;0;0
R19;31;VAN;no;yes;256,1;262,9;269;278,8;282,5;287;291;300,1;297;15,97032409;9,924;33,4141;2,0840;10,0607;33,8744;0,9423;0;18,08;0;0,000;0,00000000;;0;19,008;0;0,000;0,000;;;0,28;0,0028170;;2,775193803;0;0,241897608;0,061222086;0,162886532;0,061184182;0,053171554;0,256246953;0,046778622;0,11266511
R20;32;VAN;no;yes;285;293,2;301,3;310,4;316,7;321;328;340,7;345;21,05263158;9,3563;27,1197;1,6914;11,3149;32,7968;0,9123;0;20,2688;0;0,000;0,00000000;;0;22,08;0;0,000;0,000;;;0,08;0,0009052;;3,65926103;0;0,212757992;0;0,744501301;0;0;0;0;0
R21;33;VAN;no;yes;262,4;267,8;273,7;284,7;280,8;291;298;303,9;309;17,75914634;9,0489;29,2845;1,8264;10,0648;32,5722;0,9061;0;17,9712;0,004;0,072;0,00007188;;0;19,776;0;0,000;0,000;;;0,43;0,0043279;;3,008143422;0;0,239450364;0;0,097119437;0;0;0;0;0
R22;34;VAN;no;yes;291,8;295,9;300,7;312,6;310,6;321;329;331,6;332;13,77655929;9,369;28,2199;1,7600;11,1605;33,6160;0,9351;0;19,8784;0;0,000;0,00000000;;0;21,248;0;0,000;0,000;;;0,06;0,0006696;;2,797761422;0;0,12444244;0;0,070698748;0;0;0,052411688;0;0
R23;35;VAN;no;yes;292,3;302,4;306,8;320,7;324,9;332;345;348,4;352;20,42422169;10,6062;30,1313;1,8792;12,23;34,7443;0,9665;0;20,7936;0;0,000;0,00000000;;0;22,528;0;0,000;0,000;;;0,13;0,0015899;;3,818070251;0;0,275268317;0;0,080780655;0;0;0;0;0
R24;36;VAN;no;yes;280,6;286,4;294,3;304,7;308,9;312;321;327,3;328;16,89237349;7,4712;22,7780;1,4206;11,6403;35,4887;0,9872;0;19,7696;0;0,000;0,00000000;;0;20,992;0,064;1,343;0,001;;;0,15;0,0017460;;3,078666325;0;0,242871681;0;0,060465716;0;0;0;0;0
R37;37;VAN+PFOS;yes;yes;299,2;302,6;306,3;315,6;321,7;325;334;334,7;340;13,63636364;9,4853;27,8979;1,7399;12,7553;37,5156;1,0436;2,7735;20,5888;9,36;192,711;0,19271117;6,948;6,7197;21,76;36,08;785,101;0,785;11,684;307,398;184,8;2,3571794;35,079;2,540921958;0;0,358339725;0;0,338480571;0;0;0,100110996;0;0
R38;38;VAN+PFOS;yes;yes;291,6;299;307,3;313,7;311,5;316;323;329,4;333;14,19753086;;;;12,6737;38,0592;1,0587;2,76;19,936;11,76;234,447;0,23444736;8,494;6,5997;21,312;31,28;666,639;0,667;10,101;184,345;190,16;2,4100308;36,517;2,216871096;0;0,381112108;0;0,174831021;0;0;0;0;0
R39;39;VAN+PFOS;yes;yes;231,7;237,1;244,2;252,2;252,8;263;266;274,2;273;17,82477341;8,6568;31,7099;1,9777;10,3391;37,8722;1,0535;2,2005;16,1792;10,64;172,147;0,17214669;7,823;5,3685;17,472;25,92;452,874;0,453;8,436;163,075;177,6;1,8362242;34,204;1,937005071;0;0,266681521;0;0,145724441;0;0;0;0;0
R40;40;VAN+PFOS;yes;yes;280,1;290,3;294;303,4;307;311;317;326;327;16,74401999;10,4386;31,9223;1,9909;13,0148;39,8006;1,1072;2,6631;19,648;12,12;238,134;0,23813376;8,942;6,4461;20,928;23,92;500,598;0,501;7,766;110,217;188,72;2,4561531;38,103;4,048858094;0,638595071;0,195899605;0;0,074594859;0;0;0;0;0
R41;41;VAN+PFOS;yes;yes;257,7;266,5;274,1;278,5;284;290;296;304,9;308;19,51882033;9,5787;31,0997;1,9396;11,2493;36,5237;1,0160;2,4573;18,176;9,12;165,765;0,16576512;6,746;5,982;19,712;21,68;427,356;0,427;7,144;157,808;220,32;2,4784458;41,432;3,343697732;1,251182691;0,210021957;0;0,152055596;0;0;0;0;0
R42;42;VAN+PFOS;yes;yes;239,5;244,5;251,4;260;263,5;272;274;284,7;290;21,08559499;10,2235;35,2534;2,1987;9,4399;32,5514;0,9055;2,2677;16,864;9,8;165,267;0,16526720;7,288;5,5503;18,56;40,96;760,218;0,760;13,697;359,993;226,8;2,1409693;38,574;2,766247099;0;0,287348738;0,09295739;0,261505441;0,075612935;0,089738102;1,77305212;0,07295131;0,097953433
R43;43;VAN+PFOS;yes;yes;291,7;301,1;300,5;313,1;315,8;322;328;337,9;338;15,87247172;11,8803;35,1488;2,1922;13,3036;39,3598;1,0949;2,7441;20,2112;10,08;203,729;0,20372890;7,424;6,6552;21,632;25,6;553,779;0,554;8,321;171,822;220,32;2,9310492;44,041;3,201229656;0;0,572864953;0;0,158501444;0;0;0;0;0
R44;44;VAN+PFOS;yes;yes;261,3;268,7;277;284,3;287,3;296;302;312,8;314;20,16838883;11,6957;37,2475;2,3230;12,3122;39,2108;1,0908;2,49;18,3872;;;;;6,0843;20,096;37,44;752,394;0,752;12,366;;167,92;2,0674646;33,980;5,601203279;0;0,356580514;0;0,0914485;0;0;0,03358875;0;0
R45;45;VAN+PFOS;yes;yes;233,9;239,2;243,9;252,9;261,6;263;268;277,3;283;20,99187687;10,0136;35,3837;2,2068;10,2898;36,3597;1,0115;2,208;16,7424;;;;;5,4177;18,112;25,36;459,320;0,459;8,478;;202,32;2,0818323;38,426;3,817895948;1,007979423;0,253480475;0;0,231647609;0;0;0,53204789;0;0
R46;46;VAN+PFOS;yes;yes;254;256,1;260,5;270,5;269,3;275;276;284,3;290;14,17322835;10,1189;34,8928;2,1762;10,0189;34,5479;0,9611;2,3613;17,2352;9,88;170,284;0,17028378;7,211;5,6751;18,56;34,72;644,403;0,644;11,355;278,429;185,12;1,8546988;32,681;4,270381774;0,681299916;0,391006184;0;0,192482752;0;0;0;0;0
R47;47;VAN+PFOS;yes;yes;241,6;249,1;254,6;263,4;266,6;271;282;286,4;286;18,37748344;8,054;28,1608;1,7563;11,4467;40,0234;1,1134;2,3013;17,0624;8,8;150,149;0,15014912;6,525;5,6193;18,304;59,52;1089,454;1,089;19,388;625,581;204;2,3351268;41,555;3,335547743;0;0,351326513;0,022249194;0,065490523;0;0;0,117204251;0;0
R48;48;VAN+PFOS;yes;yes;223,5;229,4;234,4;238,8;242,1;250;252;261;262;17,22595078;9,5102;36,2985;2,2639;9,1024;34,7420;0,9665;2,1078;15,4944;8,6;133,252;0,13325184;6,322;5,1231;16,768;23,76;398,408;0,398;7,777;198,989;188,64;1,7170767;33,516;2,386965824;0;0,274898799;0;0,433170595;0;0;0,038500478;0;0
